img_src,link_addr,product_name
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2360108101051199-bcbeca77-ad97-4eac-ad9c-e643a9fce8fd.jpg,https://www.coupang.com/vp/products/5140279812?itemId=539099411&vendorItemId=4409003842&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"종가 총각김치, 2.5kg, 1개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/502989379167040-037dcdfc-e447-4dee-81fd-3817572982e0.jpg,https://www.coupang.com/vp/products/6586372374?itemId=19081002442&vendorItemId=82081965656&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"종근당건강 프로메가 오메가3 트리플 장용성, 60정, 2개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/562059017781758-000884dc-daf3-49b4-b17a-599a20737a3e.jpg,https://www.coupang.com/vp/products/4866946618?itemId=6318956874&vendorItemId=3025163213&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"매일 소화가 잘되는 우유, 190ml, 24개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2782845546765721-fedcde28-3632-41d6-a157-c955c7480966.jpg,https://www.coupang.com/vp/products/7749071357?itemId=20867946919&vendorItemId=75943171647&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"매일 두유 고단백, 190ml, 24개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/8867785431780249-54be7f89-01b3-4e9f-937b-8241fae8b8ca.jpg,https://www.coupang.com/vp/products/7757148162?itemId=20909886774&vendorItemId=3038558667&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"매일유업 매일두유 99.9, 190ml, 24개"
https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1209877407752321-295bcaac-7651-40b4-a714-63d0772dac32.jpg,https://www.coupang.com/vp/products/6330671687?itemId=18368002923&vendorItemId=79329631986&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"매일유업 어메이징 오트 오리지널 귀리음료, 190ml, 24개"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/281727606349618-1f99ddd9-a0d0-43cc-a1c6-2ab60094d494.jpg,https://www.coupang.com/vp/products/1407471893?itemId=8917020474&vendorItemId=76203623555&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"도드람한돈 앞다리 불고기용 1등급 (냉장), 1kg, 1개"
https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2008566325647068-4d0c385b-cfec-4763-b8e8-d78464662a13.png,https://www.coupang.com/vp/products/7411107327?itemId=19202399565&vendorItemId=81135143112&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"빙그레 더단백 드링크 커피 18p, 250ml, 18개"
https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2010617571580590-73bb1962-8c9a-46fe-8ad6-6581a98a1357.jpg,https://www.coupang.com/vp/products/7235436619?itemId=9820122451&vendorItemId=3001106982&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"청정원순창 100% 현미 태양초 찰고추장, 3kg, 1개"
https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4872966994003700-64529800-6de0-43fa-980b-b857f907415e.jpg,https://www.coupang.com/vp/products/5463245022?itemId=17468368450&vendorItemId=84636080373&sourceType=CAMPAIGN&campaignId=82&categoryId=194176,"그릭데이 시그니처, 800g, 1개"
